mode,shuffled,model,skill,n_train,n_test,msinstanceid
indist,False,base,0.5124541935175462,210,90,024c08c5930ca597648bb497c3cd1b07017116dbfcc5de16e0f45f4805abdb23
indist,False,+node,0.5128257295573548,210,90,024c08c5930ca597648bb497c3cd1b07017116dbfcc5de16e0f45f4805abdb23
ood,False,constant,0.0,201,99,024c08c5930ca597648bb497c3cd1b07017116dbfcc5de16e0f45f4805abdb23
ood,False,base,0.7678508965724081,201,99,024c08c5930ca597648bb497c3cd1b07017116dbfcc5de16e0f45f4805abdb23
ood,False,+node,0.7658450307143817,201,99,024c08c5930ca597648bb497c3cd1b07017116dbfcc5de16e0f45f4805abdb23
indist,False,constant,0.0,210,90,025625b33c92220dd705661711e23a89d2b0723f2a7c00834fa286c75ad78a7c
indist,False,base,-0.0034915324894169153,210,90,025625b33c92220dd705661711e23a89d2b0723f2a7c00834fa286c75ad78a7c
indist,False,+node,-1.1112536840541245,210,90,025625b33c92220dd705661711e23a89d2b0723f2a7c00834fa286c75ad78a7c
ood,False,constant,0.0,201,99,025625b33c92220dd705661711e23a89d2b0723f2a7c00834fa286c75ad78a7c
ood,False,base,-0.02944943246140408,201,99,025625b33c92220dd705661711e23a89d2b0723f2a7c00834fa286c75ad78a7c
ood,False,+node,-0.04227223089771015,201,99,025625b33c92220dd705661711e23a89d2b0723f2a7c00834fa286c75ad78a7c
indist,False,constant,0.0,210,90,025c3a38ab1d4aaf1656ea32462e78dcbc4ada8af5ffd630a9e6694d7c6296e8
indist,False,base,0.8420592582503611,210,90,025c3a38ab1d4aaf1656ea32462e78dcbc4ada8af5ffd630a9e6694d7c6296e8
indist,False,+node,0.8454024691863796,210,90,025c3a38ab1d4aaf1656ea32462e78dcbc4ada8af5ffd630a9e6694d7c6296e8
ood,False,constant,0.0,201,99,025c3a38ab1d4aaf1656ea32462e78dcbc4ada8af5ffd630a9e6694d7c6296e8
ood,False,base,0.9282071824752163,201,99,025c3a38ab1d4aaf1656ea32462e78dcbc4ada8af5ffd630a9e6694d7c6296e8
ood,False,+node,0.9289704228331117,201,99,025c3a38ab1d4aaf1656ea32462e78dcbc4ada8af5ffd630a9e6694d7c6296e8
indist,False,constant,0.0,210,90,027347f158c79abd22b7374ce542c0c733878475c6502b1cb373702c0f20bb56
indist,False,base,0.1256786795938839,210,90,027347f158c79abd22b7374ce542c0c733878475c6502b1cb373702c0f20bb56
indist,False,+node,0.12839411354575936,210,90,027347f158c79abd22b7374ce542c0c733878475c6502b1cb373702c0f20bb56
ood,False,constant,0.0,201,99,027347f158c79abd22b7374ce542c0c733878475c6502b1cb373702c0f20bb56
ood,False,base,0.29239130097224275,201,99,027347f158c79abd22b7374ce542c0c733878475c6502b1cb373702c0f20bb56
ood,False,+node,0.23210688556120884,201,99,027347f158c79abd22b7374ce542c0c733878475c6502b1cb373702c0f20bb56
indist,False,constant,0.0,210,90,029706ab05bd1f18ca898f76060ba15f0ddae7660a9601dabf113c7b70bf28a8
indist,False,base,0.6207986020985432,210,90,029706ab05bd1f18ca898f76060ba15f0ddae7660a9601dabf113c7b70bf28a8
indist,False,+node,0.619578264446228,210,90,029706ab05bd1f18ca898f76060ba15f0ddae7660a9601dabf113c7b70bf28a8
ood,False,constant,0.0,201,99,029706ab05bd1f18ca898f76060ba15f0ddae7660a9601dabf113c7b70bf28a8
ood,False,base,0.5793620071722135,201,99,029706ab05bd1f18ca898f76060ba15f0ddae7660a9601dabf113c7b70bf28a8
ood,False,+node,0.5760548952830802,201,99,029706ab05bd1f18ca898f76060ba15f0ddae7660a9601dabf113c7b70bf28a8
indist,False,constant,0.0,210,90,02997c6eee1319e2a7ec6838af6ebd0eaa2d8744ac24a1c728a2083ba7aa9096
indist,False,base,-0.05126758044139179,210,90,02997c6eee1319e2a7ec6838af6ebd0eaa2d8744ac24a1c728a2083ba7aa9096
indist,False,+node,-0.047026767721605855,210,90,02997c6eee1319e2a7ec6838af6ebd0eaa2d8744ac24a1c728a2083ba7aa9096
ood,False,constant,0.0,201,99,02997c6eee1319e2a7ec6838af6ebd0eaa2d8744ac24a1c728a2083ba7aa9096
ood,False,base,0.34716499510600274,201,99,02997c6eee1319e2a7ec6838af6ebd0eaa2d8744ac24a1c728a2083ba7aa9096
ood,False,+node,0.3183520222545211,201,99,02997c6eee1319e2a7ec6838af6ebd0eaa2d8744ac24a1c728a2083ba7aa9096
indist,False,constant,0.0,210,90,02ab9f7ab2df7f193815b7c1e14fb3fa67f200f121273b5ec159be8bdae65381
indist,False,base,0.01868456544888708,210,90,02ab9f7ab2df7f193815b7c1e14fb3fa67f200f121273b5ec159be8bdae65381
indist,False,+node,0.1790949294564742,210,90,02ab9f7ab2df7f193815b7c1e14fb3fa67f200f121273b5ec159be8bdae65381
ood,False,constant,0.0,201,99,02ab9f7ab2df7f193815b7c1e14fb3fa67f200f121273b5ec159be8bdae65381
ood,False,base,0.04724723869705216,201,99,02ab9f7ab2df7f193815b7c1e14fb3fa67f200f121273b5ec159be8bdae65381
ood,False,+node,0.15348493869933233,201,99,02ab9f7ab2df7f193815b7c1e14fb3fa67f200f121273b5ec159be8bdae65381
indist,False,constant,0.0,210,90,02b53bb5ee64d0470ddcb6bb1dc817922871f4e0c42ea40ddb122d7454c51aa9
indist,False,base,0.35962135695738406,210,90,02b53bb5ee64d0470ddcb6bb1dc817922871f4e0c42ea40ddb122d7454c51aa9
indist,False,+node,0.34004688437257424,210,90,02b53bb5ee64d0470ddcb6bb1dc817922871f4e0c42ea40ddb122d7454c51aa9
ood,False,constant,0.0,201,99,02b53bb5ee64d0470ddcb6bb1dc817922871f4e0c42ea40ddb122d7454c51aa9
ood,False,base,-1.5472771288641045,201,99,02b53bb5ee64d0470ddcb6bb1dc817922871f4e0c42ea40ddb122d7454c51aa9
ood,False,+node,-1.8404367256252447,201,99,02b53bb5ee64d0470ddcb6bb1dc817922871f4e0c42ea40ddb122d7454c51aa9
indist,False,constant,0.0,210,90,02c08b67ff2b186f710284a82d55fbd0d8895a0ce6ecc18c6388628cdb06bfed
indist,False,base,0.02091125209403666,210,90,02c08b67ff2b186f710284a82d55fbd0d8895a0ce6ecc18c6388628cdb06bfed
indist,False,+node,-0.0048653245617742424,210,90,02c08b67ff2b186f710284a82d55fbd0d8895a0ce6ecc18c6388628cdb06bfed
ood,False,constant,0.0,201,99,02c08b67ff2b186f710284a82d55fbd0d8895a0ce6ecc18c6388628cdb06bfed
ood,False,base,0.025752776745239347,201,99,02c08b67ff2b186f710284a82d55fbd0d8895a0ce6ecc18c6388628cdb06bfed
ood,False,+node,0.0384383720486251,201,99,02c08b67ff2b186f710284a82d55fbd0d8895a0ce6ecc18c6388628cdb06bfed
indist,False,constant,0.0,210,90,02f12e3646da6ce44977b7738ba471fcf0ae9c7554831b8e5c22abb51ebf67d1
indist,False,base,-0.6574005705540018,210,90,02f12e3646da6ce44977b7738ba471fcf0ae9c7554831b8e5c22abb51ebf67d1
indist,False,+node,-0.51640879395932,210,90,02f12e3646da6ce44977b7738ba471fcf0ae9c7554831b8e5c22abb51ebf67d1
ood,False,constant,0.0,201,99,02f12e3646da6ce44977b7738ba471fcf0ae9c7554831b8e5c22abb51ebf67d1
ood,False,base,-24.925503819371905,201,99,02f12e3646da6ce44977b7738ba471fcf0ae9c7554831b8e5c22abb51ebf67d1
ood,False,+node,-20.247420617091564,201,99,02f12e3646da6ce44977b7738ba471fcf0ae9c7554831b8e5c22abb51ebf67d1
indist,False,constant,0.0,210,90,03178fe9e423eb55c47d1206f67a870e5bbd720c2b0b2c4b20929615738f68c8
indist,False,base,0.2414114656231957,210,90,03178fe9e423eb55c47d1206f67a870e5bbd720c2b0b2c4b20929615738f68c8
indist,False,+node,0.24767390185310356,210,90,03178fe9e423eb55c47d1206f67a870e5bbd720c2b0b2c4b20929615738f68c8
