scenario,target,fault,run_id,metric,n_services,delta_w_pct,rho_model,rho_hop,rho_random,prec_model,prec_hop,prec_random
orders_delay,orders,delay,1,mem,6,-2.518831059724527,0.33394720739540396,0.6546536707079772,-0.21251185925162072,0.5,1.0,0.5
orders_delay,orders,delay,2,cpu,6,-3.1043306983685692,-0.6546536707079772,-0.39279220242478635,-0.39279220242478635,0.5,0.0,0.0
orders_delay,orders,delay,2,mem,6,-3.1043306983685692,-0.6375355777548621,-0.39279220242478635,-0.27322953332351235,0.5,0.5,0.5
orders_delay,orders,delay,3,cpu,6,-2.3382982142453845,0.15179418517972906,-0.13093073414159545,-0.3946648814672956,0.0,0.5,0.5
orders_delay,orders,delay,3,mem,6,-2.3382982142453845,-0.5161002296110789,-0.13093073414159545,-0.21251185925162072,0.0,0.5,0.0
orders_disk,orders,disk,1,cpu,6,46.55257410224478,-0.27322953332351235,0.39279220242478635,-0.6982532518267538,0.5,0.0,0.0
orders_disk,orders,disk,1,mem,6,46.55257410224478,0.3718678720805473,0.39279220242478635,-0.8451542547285165,0.5,0.5,0.0
orders_disk,orders,disk,2,cpu,6,41.584919329117604,-0.6761234037828132,-0.13093073414159545,0.304255531702266,0.0,1.0,0.5
orders_disk,orders,disk,2,mem,6,41.584919329117604,-0.6546536707079772,-0.39279220242478635,0.13093073414159545,0.0,0.5,0.0
orders_disk,orders,disk,3,cpu,6,0.798190048359314,0.9856107606091624,-0.13093073414159545,0.3768511731740915,1.0,0.5,0.5
orders_disk,orders,disk,3,mem,6,0.798190048359314,0.33394720739540396,0.39279220242478635,-0.15179418517972906,0.0,1.0,0.0
orders_loss,orders,loss,1,cpu,6,-45.444135971045924,-0.6546536707079772,-0.13093073414159545,-0.13093073414159545,0.5,1.0,1.0
orders_loss,orders,loss,1,mem,6,-45.444135971045924,0.8451542547285165,-0.6546536707079772,-0.06761234037828133,1.0,0.5,0.5
orders_loss,orders,loss,2,cpu,6,-46.41212280225859,-0.5768179036829705,-0.39279220242478635,-0.3946648814672956,0.5,0.5,0.0
orders_loss,orders,loss,2,mem,6,-46.41212280225859,0.3718678720805473,-0.39279220242478635,0.4394802124588286,0.5,0.5,0.5
orders_loss,orders,loss,3,cpu,6,-46.44447042443155,-0.7589709258986453,-0.13093073414159545,0.5161002296110789,0.0,0.5,0.0
orders_loss,orders,loss,3,mem,6,-46.44447042443155,-0.13093073414159545,0.6546536707079772,-0.13093073414159545,0.0,0.0,0.0
orders_mem,orders,mem,1,cpu,6,-0.02990670053928004,-0.4285714285714286,0.6546536707079772,0.3142857142857143,0.5,0.0,0.5
orders_mem,orders,mem,1,mem,6,-0.02990670053928004,-0.3380617018914066,0.13093073414159545,-0.7775419143502353,0.5,1.0,0.0
orders_mem,orders,mem,2,cpu,6,0.45998590963823316,0.8285714285714287,-0.13093073414159545,-0.7142857142857143,1.0,0.0,0.0
orders_mem,orders,mem,2,mem,6,0.45998590963823316,0.2704493615131253,-0.6546536707079772,-0.101418510567422,0.5,0.5,0.5
orders_mem,orders,mem,3,cpu,6,0.33441872724860605,0.21251185925162072,-0.39279220242478635,0.7589709258986453,0.0,0.0,1.0
orders_mem,orders,mem,3,mem,6,0.33441872724860605,-0.09107651110783746,-0.39279220242478635,-0.21251185925162072,0.5,0.5,0.0
orders_socket,orders,socket,1,cpu,6,-23.36152329632932,0.21251185925162072,0.13093073414159545,-0.7589709258986453,0.5,0.5,0.0
orders_socket,orders,socket,1,mem,6,-23.36152329632932,-0.7775419143502353,-0.6546536707079772,0.3718678720805473,0.0,0.5,1.0
orders_socket,orders,socket,2,cpu,6,0.31925905211211564,-0.33394720739540396,0.13093073414159545,-0.27322953332351235,0.5,0.5,0.0
orders_socket,orders,socket,2,mem,6,0.31925905211211564,0.6546536707079772,0.6546536707079772,-0.6546536707079772,0.5,0.5,0.0
orders_socket,orders,socket,3,cpu,6,0.6669172964157891,-0.27322953332351235,0.39279220242478635,-0.7589709258986453,0.5,0.0,0.0
orders_socket,orders,socket,3,mem,6,0.6669172964157891,-0.8451542547285165,-0.13093073414159545,0.50709255283711,0.0,0.5,0.5
payment_cpu,payment,cpu,1,cpu,6,-0.4423500765599199,-0.4285714285714286,0.50709255283711,0.7714285714285715,0.5,0.5,0.5
payment_cpu,payment,cpu,1,mem,6,-0.4423500765599199,-1.0,-0.1690308509457033,-0.2,0.0,0.5,0.0
payment_cpu,payment,cpu,2,cpu,6,0.93300919564545,-0.48571428571428577,-0.8451542547285165,-0.7142857142857143,0.0,0.5,0.0
payment_cpu,payment,cpu,2,mem,6,0.93300919564545,-0.13093073414159545,-0.3380617018914066,0.13093073414159545,0.0,0.0,0.0
payment_cpu,payment,cpu,3,cpu,6,-2.205379360065334,0.39279220242478635,0.1690308509457033,0.6546536707079772,0.0,0.5,0.0
payment_cpu,payment,cpu,3,mem,6,-2.205379360065334,-0.3714285714285715,-0.50709255283711,0.2571428571428572,0.0,0.0,0.5
payment_delay,payment,delay,1,cpu,6,1.5059890850790318,-0.3714285714285715,-0.50709255283711,0.942857142857143,0.0,0.5,0.5
payment_delay,payment,delay,1,mem,6,1.5059890850790318,-0.030358837035945815,-0.1690308509457033,-0.15179418517972906,0.5,0.5,0.5
payment_delay,payment,delay,2,cpu,6,0.5897258407433695,-0.2571428571428572,-0.50709255283711,-0.028571428571428574,0.0,0.0,0.5
payment_delay,payment,delay,2,mem,6,0.5897258407433695,0.8451542547285165,0.3380617018914066,-0.101418510567422,1.0,0.0,0.5
payment_delay,payment,delay,3,cpu,6,-1.1924924854251715,-0.7775419143502353,-0.50709255283711,0.50709255283711,0.0,0.0,1.0
payment_delay,payment,delay,3,mem,6,-1.1924924854251715,-0.6957252427829381,-0.50709255283711,0.11595420713048968,0.0,0.0,0.0
payment_disk,payment,disk,1,cpu,6,14.497463210037145,-0.6377481392176932,-0.3380617018914066,-0.6667366910003157,0.0,0.5,0.0
payment_disk,payment,disk,1,mem,6,14.497463210037145,-0.6982532518267538,-0.1690308509457033,0.5161002296110789,0.0,0.5,0.5
payment_disk,payment,disk,2,cpu,6,-1.460204952827805,-0.21251185925162072,-0.1690308509457033,-0.33394720739540396,0.5,0.5,0.5
payment_disk,payment,disk,2,mem,6,-1.460204952827805,-0.819688599970537,-0.3380617018914066,-0.6982532518267538,0.0,0.0,0.0
payment_disk,payment,disk,3,cpu,6,-0.02640235370797872,-0.15179418517972906,-0.1690308509457033,-0.27322953332351235,0.5,0.5,0.5
payment_disk,payment,disk,3,mem,6,-0.02640235370797872,-0.2,-0.6761234037828132,-0.8285714285714287,0.0,0.0,0.0
payment_loss,payment,loss,1,cpu,6,-51.44064230329951,-0.7142857142857143,0.6761234037828132,0.2571428571428572,0.0,0.5,0.5
payment_loss,payment,loss,1,mem,6,-51.44064230329951,-0.101418510567422,-0.50709255283711,-0.2704493615131253,0.5,0.0,0.5
payment_loss,payment,loss,2,cpu,6,-51.98799848379187,0.7826908981308054,0.50709255283711,0.20291986247835694,0.5,0.5,0.5
payment_loss,payment,loss,2,mem,6,-51.98799848379187,-0.05797710356524484,-0.50709255283711,-0.550782483869826,0.5,0.0,0.0
payment_loss,payment,loss,3,cpu,6,-41.73925949143113,0.028571428571428574,-0.8451542547285165,-0.08571428571428573,0.5,0.5,0.5
payment_loss,payment,loss,3,mem,6,-41.73925949143113,-0.33394720739540396,-0.50709255283711,-0.3946648814672956,0.5,0.5,0.5
payment_mem,payment,mem,1,cpu,6,8.598262835094479,-0.3718678720805473,-0.8451542547285165,0.3380617018914066,0.0,0.5,0.5
payment_mem,payment,mem,1,mem,6,8.598262835094479,-0.033806170189140665,-0.6761234037828132,-0.13522468075656266,0.0,0.0,0.0
