mode,shuffled,n_train,n_test,model,skill,mape,parent,child,n_calls
ood,False,201,99,uniform_delta,0.8219463796394528,4.6250107151246205,6f83eed12375,af42b5e3e0eb,6941
ood,False,201,99,graph_LinearReg,0.8148713150328751,4.824220657348633,6f83eed12375,af42b5e3e0eb,6941
ood,False,201,99,graph_NNLS,0.8148713150328751,4.824220657348633,6f83eed12375,af42b5e3e0eb,6941
indist,False,210,90,constant,0.0,9.996469896069451,6da93e1b8565,377f1c6e2b6c,6591
indist,False,210,90,uniform_delta,0.531317051840718,6.800835437582614,6da93e1b8565,377f1c6e2b6c,6591
indist,False,210,90,graph_LinearReg,0.5356464330885927,6.623388290405273,6da93e1b8565,377f1c6e2b6c,6591
indist,False,210,90,graph_NNLS,0.5356464330885927,6.623388290405273,6da93e1b8565,377f1c6e2b6c,6591
ood,False,201,99,constant,0.0,14.117762501819298,6da93e1b8565,377f1c6e2b6c,6591
ood,False,201,99,uniform_delta,0.7460995465963018,7.283292769202841,6da93e1b8565,377f1c6e2b6c,6591
ood,False,201,99,graph_LinearReg,0.7533741237624594,6.512011528015137,6da93e1b8565,377f1c6e2b6c,6591
ood,False,201,99,graph_NNLS,0.7533740741942662,6.512011528015137,6da93e1b8565,377f1c6e2b6c,6591
indist,False,210,90,constant,0.0,7.555266368502026,b58ba81e712e,f9014fe2e1ad,6562
indist,False,210,90,uniform_delta,-0.06418620251388973,7.9607443475500945,b58ba81e712e,f9014fe2e1ad,6562
indist,False,210,90,graph_LinearReg,0.09048870194649483,7.409442901611328,b58ba81e712e,f9014fe2e1ad,6562
indist,False,210,90,graph_NNLS,0.09048849422947569,7.409442901611328,b58ba81e712e,f9014fe2e1ad,6562
ood,False,201,99,constant,0.0,9.875700406161396,b58ba81e712e,f9014fe2e1ad,6562
ood,False,201,99,uniform_delta,0.06968296288384723,8.269933831822138,b58ba81e712e,f9014fe2e1ad,6562
ood,False,201,99,graph_LinearReg,0.14458507327591008,9.28543758392334,b58ba81e712e,f9014fe2e1ad,6562
ood,False,201,99,graph_NNLS,0.14458500668837848,9.285438537597656,b58ba81e712e,f9014fe2e1ad,6562
indist,False,210,90,constant,0.0,5.471878368499261,d6d9fc487215,373f823120ce,6540
indist,False,210,90,uniform_delta,-1.4847289552051253,7.699152254774072,d6d9fc487215,373f823120ce,6540
indist,False,210,90,graph_LinearReg,-0.1152917025133835,5.845313549041748,d6d9fc487215,373f823120ce,6540
indist,False,210,90,graph_NNLS,6.8873179381867544e-09,5.471878528594971,d6d9fc487215,373f823120ce,6540
ood,False,201,99,constant,0.0,5.081094162896065,d6d9fc487215,373f823120ce,6540
ood,False,201,99,uniform_delta,-8.82770747081601,15.53430013521461,d6d9fc487215,373f823120ce,6540
ood,False,201,99,graph_LinearReg,-0.12506447312228386,4.732463359832764,d6d9fc487215,373f823120ce,6540
ood,False,201,99,graph_NNLS,-8.671728290998715e-08,5.081094264984131,d6d9fc487215,373f823120ce,6540
indist,False,210,90,constant,0.0,5.689045039945455,b6fff9281fd3,6190227e8489,6044
indist,False,210,90,uniform_delta,-0.30856894976988136,5.912614156384421,b6fff9281fd3,6190227e8489,6044
indist,False,210,90,graph_LinearReg,0.6710861595056031,2.71490740776062,b6fff9281fd3,6190227e8489,6044
indist,False,210,90,graph_NNLS,0.6710862289841579,2.7149064540863037,b6fff9281fd3,6190227e8489,6044
ood,False,201,99,constant,0.0,9.879766228008833,b6fff9281fd3,6190227e8489,6044
ood,False,201,99,uniform_delta,0.02239756178047314,9.53828916112416,b6fff9281fd3,6190227e8489,6044
ood,False,201,99,graph_LinearReg,0.7953651858670758,4.441040992736816,b6fff9281fd3,6190227e8489,6044
ood,False,201,99,graph_NNLS,0.7953654937789042,4.441037654876709,b6fff9281fd3,6190227e8489,6044
indist,False,210,90,constant,0.0,5.337120655286054,95a6f7f8345e,c9d968a323dc,5966
indist,False,210,90,uniform_delta,0.4363631280354633,3.5370909776657613,95a6f7f8345e,c9d968a323dc,5966
indist,False,210,90,graph_LinearReg,0.45954118893120677,3.3595130443573,95a6f7f8345e,c9d968a323dc,5966
indist,False,210,90,graph_NNLS,0.4595416096527506,3.3595118522644043,95a6f7f8345e,c9d968a323dc,5966
ood,False,201,99,constant,0.0,4.653940143283938,95a6f7f8345e,c9d968a323dc,5966
ood,False,201,99,uniform_delta,0.8271737567868829,1.6569716730775124,95a6f7f8345e,c9d968a323dc,5966
ood,False,201,99,graph_LinearReg,0.7313471019749712,2.332841157913208,95a6f7f8345e,c9d968a323dc,5966
ood,False,201,99,graph_NNLS,0.7313486916627141,2.332833766937256,95a6f7f8345e,c9d968a323dc,5966
indist,False,210,90,constant,0.0,15.618024672996489,377f1c6e2b6c,23bdd392279c,5843
indist,False,210,90,uniform_delta,0.6972593822233792,8.048585046413107,377f1c6e2b6c,23bdd392279c,5843
indist,False,210,90,graph_LinearReg,0.6376204480410604,9.703720092773438,377f1c6e2b6c,23bdd392279c,5843
indist,False,210,90,graph_NNLS,0.6376203278865378,9.70372200012207,377f1c6e2b6c,23bdd392279c,5843
ood,False,201,99,constant,0.0,24.980986528865714,377f1c6e2b6c,23bdd392279c,5843
ood,False,201,99,uniform_delta,0.7105064993898582,13.066990380398558,377f1c6e2b6c,23bdd392279c,5843
ood,False,201,99,graph_LinearReg,0.4639626461154559,19.151838302612305,377f1c6e2b6c,23bdd392279c,5843
ood,False,201,99,graph_NNLS,0.4639626461154559,19.151838302612305,377f1c6e2b6c,23bdd392279c,5843
indist,True,210,90,constant,0.0,5.021385796028547,95a6f7f8345e,1bf21ceb4b02,41233
indist,True,210,90,uniform_delta,-0.3425194650098562,5.478604852759937,95a6f7f8345e,1bf21ceb4b02,41233
indist,True,210,90,graph_LinearReg,-0.00020742715887900331,5.0371623039245605,95a6f7f8345e,1bf21ceb4b02,41233
indist,True,210,90,graph_NNLS,-3.280788685167124e-08,5.021385192871094,95a6f7f8345e,1bf21ceb4b02,41233
ood,True,201,99,constant,0.0,5.02762373112194,95a6f7f8345e,1bf21ceb4b02,41233
ood,True,201,99,uniform_delta,-0.5247462899838766,5.567170611814936,95a6f7f8345e,1bf21ceb4b02,41233
ood,True,201,99,graph_LinearReg,-0.05943536525874982,5.219074249267578,95a6f7f8345e,1bf21ceb4b02,41233
ood,True,201,99,graph_NNLS,-4.431201316990041e-08,5.027623653411865,95a6f7f8345e,1bf21ceb4b02,41233
indist,True,210,90,constant,0.0,5.412484660062912,24601dd8b36f,643bce6326e3,20840
indist,True,210,90,uniform_delta,-1.41911804097857,7.697687501491732,24601dd8b36f,643bce6326e3,20840
indist,True,210,90,graph_LinearReg,-7.295996198153354e-05,5.411665916442871,24601dd8b36f,643bce6326e3,20840
indist,True,210,90,graph_NNLS,-5.212010822930324e-10,5.412484169006348,24601dd8b36f,643bce6326e3,20840
