evaluation_protocol,risk_threshold,service,metric,unit,n_train,n_fit,n_test,wl_train,wl_test,model,mape_pct,smape_pct,rmse,nrmse,mae,r2,mape_full_res_pct,mae_full_res,rmse_full_res,r2_full_res,n_test_full_res,train_time_s
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Memory,MB,43410,2000,21382,0.0-2.2,2.2-15.1,LinearReg,1.22,1.25,7.8736,0.4549,4.1743,-0.826,2.12,9.1196,38.5059,-0.051,21382,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Memory,MB,43410,2000,21382,0.0-2.2,2.2-15.1,GradBoost,2.01,2.04,8.9433,0.5167,6.7843,-1.356,2.23,9.4891,38.0051,-0.024,21382,0.05
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Memory,MB,43410,2000,21382,0.0-2.2,2.2-15.1,GaussianProcess,0.84,0.85,6.1796,0.357,2.8762,-0.125,2.21,9.3523,37.5687,-0.001,21382,25.38
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Memory,MB,43410,2000,21382,0.0-2.2,2.2-15.1,SCM_Auto,2.58,2.67,14.0739,0.813,8.7915,-4.833,2.66,11.7713,58.3893,-1.417,21382,1.5
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Memory,MB,43410,2000,21382,0.0-2.2,2.2-15.1,SCM_Deployed,1.21,1.23,7.4791,0.4321,4.1346,-0.647,2.22,9.3853,37.5713,-0.001,21382,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Memory,MB,43416,2000,21384,0.0-2.2,2.2-3.7,LinearReg,0.8,0.8,0.0486,0.5298,0.0367,-2.235,4.2,0.186,0.3176,-0.012,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Memory,MB,43416,2000,21384,0.0-2.2,2.2-3.7,GradBoost,0.59,0.59,0.031,0.3378,0.0269,-0.315,4.02,0.1793,0.3166,-0.005,21384,0.05
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Memory,MB,43416,2000,21384,0.0-2.2,2.2-3.7,GaussianProcess,0.49,0.49,0.031,0.3378,0.0226,-0.315,4.05,0.1802,0.3162,-0.003,21384,27.34
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Memory,MB,43416,2000,21384,0.0-2.2,2.2-3.7,SCM_Auto,0.86,0.86,0.0472,0.5141,0.0394,-2.047,4.2,0.186,0.3176,-0.012,21384,0.18
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Memory,MB,43416,2000,21384,0.0-2.2,2.2-3.7,SCM_Deployed,0.9,0.9,0.0536,0.5836,0.0412,-2.926,4.2,0.186,0.3176,-0.012,21384,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Memory,MB,43416,2000,21384,0.0-2.2,2.2-4.0,LinearReg,0.19,0.19,0.7778,0.3444,0.5889,-0.073,1.33,4.3253,14.8517,-0.0,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Memory,MB,43416,2000,21384,0.0-2.2,2.2-4.0,GradBoost,0.25,0.25,0.8253,0.3654,0.7546,-0.208,1.33,4.3228,14.8568,-0.001,21384,0.06
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Memory,MB,43416,2000,21384,0.0-2.2,2.2-4.0,GaussianProcess,0.2,0.2,0.7512,0.3326,0.5973,-0.001,1.33,4.3241,14.8508,-0.0,21384,26.41
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Memory,MB,43416,2000,21384,0.0-2.2,2.2-4.0,SCM_Auto,0.14,0.14,0.4653,0.206,0.4238,0.616,1.33,4.332,14.851,-0.0,21384,0.21
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Memory,MB,43416,2000,21384,0.0-2.2,2.2-4.0,SCM_Deployed,0.36,0.36,1.2098,0.5357,1.0769,-1.596,1.33,4.3244,14.8508,-0.0,21384,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Socket,cnt,43348,2000,21351,0.0-24.9,24.9-29.6,LinearReg,19.55,17.64,1.6159,2.81,1.53,-88.736,26.74,2.0323,2.7069,-0.6,21351,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Socket,cnt,43348,2000,21351,0.0-24.9,24.9-29.6,GradBoost,8.13,7.79,0.6548,1.1386,0.6322,-13.734,16.4,1.3019,2.2318,-0.087,21351,0.09
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Socket,cnt,43348,2000,21351,0.0-24.9,24.9-29.6,GaussianProcess,4.78,4.62,0.5406,0.9401,0.3746,-9.043,13.14,1.1055,2.1986,-0.055,21351,20.67
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Socket,cnt,43348,2000,21351,0.0-24.9,24.9-29.6,SCM_Auto,13.64,12.7,1.1031,1.9182,1.0626,-40.816,17.32,1.3647,2.2593,-0.114,21351,0.38
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Socket,cnt,43348,2000,21351,0.0-24.9,24.9-29.6,SCM_Deployed,51.41,40.77,4.0418,7.0285,4.0121,-560.398,55.79,4.1497,4.4214,-3.268,21351,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Socket,cnt,43416,2000,21384,0.0-4.2,4.2-6.7,LinearReg,1.38,1.39,0.1344,0.5294,0.0908,-1.786,12.86,0.9247,1.7868,-0.003,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Socket,cnt,43416,2000,21384,0.0-4.2,4.2-6.7,GradBoost,1.08,1.1,0.1048,0.4128,0.0716,-0.694,12.69,0.9173,1.7854,-0.001,21384,0.06
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Socket,cnt,43416,2000,21384,0.0-4.2,4.2-6.7,GaussianProcess,2.17,2.15,0.1514,0.5962,0.1411,-2.533,13.85,0.9686,1.7899,-0.006,21384,23.03
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Socket,cnt,43416,2000,21384,0.0-4.2,4.2-6.7,SCM_Auto,10.65,11.27,0.7089,2.7917,0.6965,-76.469,11.71,0.8753,1.8084,-0.027,21384,1.55
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Socket,cnt,43416,2000,21384,0.0-4.2,4.2-6.7,SCM_Deployed,3.33,3.27,0.2416,0.9513,0.2163,-7.995,13.89,0.9701,1.7897,-0.006,21384,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Socket,cnt,43416,2000,21384,0.0-19.1,19.1-30.1,LinearReg,1.79,1.78,0.3725,0.3208,0.3324,0.093,17.49,3.4855,5.5325,0.0,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Socket,cnt,43416,2000,21384,0.0-19.1,19.1-30.1,GradBoost,5.6,5.43,1.1108,0.9567,1.0397,-7.069,21.21,4.0014,5.6294,-0.035,21384,0.09
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Socket,cnt,43416,2000,21384,0.0-19.1,19.1-30.1,GaussianProcess,1.8,1.79,0.3978,0.3426,0.3342,-0.035,17.71,3.5135,5.5341,-0.0,21384,21.56
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Socket,cnt,43416,2000,21384,0.0-19.1,19.1-30.1,SCM_Auto,5.51,5.69,1.1318,0.9747,1.0387,-7.377,16.24,3.3311,5.5461,-0.004,21384,0.24
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Socket,cnt,43416,2000,21384,0.0-19.1,19.1-30.1,SCM_Deployed,2.34,2.32,0.5076,0.4371,0.4345,-0.685,17.71,3.5135,5.5341,-0.0,21384,0.01
