repeat,service,hops,group,change_pct,z_score,anomaly_score,shapley_contribution,risk_level
4,ts-consign-service,-1,unreachable,4.15,0.0552,0.5039,0.1074,normal
4,ts-inside-payment-service,-1,unreachable,-9.03,0.0461,0.7088,0.0063,normal
4,ts-admin-basic-info-service,-1,unreachable,0.87,0.0089,0.6554,0.0001,normal
5,ts-config-service,2,reachable,6.25,0.0789,0.4973,0.2993,normal
5,ts-seat-service,1,reachable,8.71,0.1362,0.3437,0.2859,normal
5,ts-basic-service,2,reachable,6.16,0.1341,0.1886,0.2756,normal
5,ts-food-map-service,2,reachable,-1.57,0.0146,0.446,0.2722,normal
5,ts-auth-service,-1,unreachable,-0.56,0.0421,0.0725,0.2675,normal
5,ts-station-service,1,reachable,2.75,0.061,0.1778,0.2663,normal
5,ts-travel-service,1,reachable,12.16,0.1577,0.2218,0.2584,normal
5,ts-ui-dashboard,-1,unreachable,-0.58,0.048,0.2496,0.2475,normal
5,ts-security-service,1,reachable,12.94,0.1451,0.3311,0.226,normal
5,ts-order-other-service,2,reachable,5.0,0.0871,0.3145,0.2208,normal
5,ts-contacts-service,1,reachable,7.88,0.0835,0.5138,0.2095,normal
5,ts-price-service,3,reachable,5.13,0.0554,0.4826,0.2087,normal
5,ts-payment-service,-1,unreachable,-0.25,0.0025,0.5324,0.2028,normal
5,ts-ticketinfo-service,1,reachable,6.41,0.1359,0.0523,0.1995,normal
5,ts-order-service,1,reachable,11.25,0.1402,0.5006,0.1985,normal
5,ts-train-service,2,reachable,4.5,0.0714,0.1886,0.198,normal
5,ts-assurance-service,1,reachable,13.71,0.133,0.5006,0.1685,normal
5,ts-preserve-service,0,injection_self,40.46,0.4334,0.5461,0.1655,normal
5,ts-route-service,2,reachable,6.15,0.107,0.5938,0.1651,normal
5,ts-user-service,1,reachable,24.32,0.226,0.6967,0.165,normal
5,ts-travel2-service,-1,unreachable,1.87,0.0346,0.5392,0.1608,normal
5,ts-food-service,1,reachable,6.14,0.0705,0.4444,0.1498,normal
5,ts-inside-payment-service,-1,unreachable,6.51,0.0333,0.9511,0.1402,normal
