scenario,fault,run_id,metric,service,parent,lag,n,marginal,residual_carry,counterfactual
payment_socket,socket,3,cpu,shipping,orders,15,706,94.63517037668147,27.661092214341405,25.850918427447546
payment_socket,socket,3,cpu,shipping,orders,30,691,95.81730831502355,32.641992020763574,30.860386608130536
payment_socket,socket,3,mem,catalogue,front-end,5,716,0.6159626877118616,0.035785627493405296,0.035427668409068545
payment_socket,socket,3,mem,catalogue,front-end,15,706,0.6235720108328501,0.10233039471700368,0.10152289838084114
payment_socket,socket,3,mem,catalogue,front-end,30,691,0.6353215846296614,0.14178235249795684,0.14174927862044392
payment_socket,socket,3,mem,carts,front-end,5,716,0.03753685869744274,0.004355704682452167,0.004081370440459507
payment_socket,socket,3,mem,carts,front-end,15,706,0.037673243175078516,0.011523878120203326,0.010899410471911456
payment_socket,socket,3,mem,carts,front-end,30,691,0.037967747072641486,0.012181233965070709,0.011446364697826483
payment_socket,socket,3,mem,user,front-end,5,716,0.25482465606274496,0.05148321518332362,0.04467236640520456
payment_socket,socket,3,mem,user,front-end,15,706,0.25129204921576004,0.12213201915499182,0.11922820004565357
payment_socket,socket,3,mem,user,front-end,30,691,0.24585882112119975,0.15441756191915684,0.1565837538348023
payment_socket,socket,3,mem,orders,front-end,5,716,0.15684131562269463,0.003528691208338018,0.003528691208338018
payment_socket,socket,3,mem,orders,front-end,15,706,0.15691196950951386,0.010468492687679357,0.010468492687679357
payment_socket,socket,3,mem,orders,front-end,30,691,0.15685910765011543,0.011280112428443892,0.011280112428443892
payment_socket,socket,3,mem,payment,orders,5,716,57.32414965957121,5.44921383901546,5.448744405183459
payment_socket,socket,3,mem,payment,orders,15,706,57.66263928438365,15.063413458830762,15.063123028058145
payment_socket,socket,3,mem,payment,orders,30,691,57.705128520724955,17.118917044640625,17.11891676910789
payment_socket,socket,3,mem,shipping,orders,5,716,0.09382741839298403,0.0023109229212276198,0.002210410293391974
payment_socket,socket,3,mem,shipping,orders,15,706,0.0939883716035216,0.005622692910860572,0.005428061909533743
payment_socket,socket,3,mem,shipping,orders,30,691,0.09418889477195141,0.007687349313423297,0.00752169884095762
user_cpu,cpu,1,cpu,catalogue,front-end,5,716,14.45823159166168,7.901898742652878,6.851150804269103
user_cpu,cpu,1,cpu,catalogue,front-end,15,706,14.359508536936918,14.008511625510664,10.955778709582884
user_cpu,cpu,1,cpu,catalogue,front-end,30,691,14.34249718089787,13.800529273339956,11.785133998916356
user_cpu,cpu,1,cpu,carts,front-end,5,716,12.745536104446813,12.103036083803419,9.016348043739656
user_cpu,cpu,1,cpu,carts,front-end,15,706,12.695512892874723,19.51553619967055,14.40881076791101
user_cpu,cpu,1,cpu,carts,front-end,30,691,12.653119737542887,19.110513899309026,14.09142815566373
user_cpu,cpu,1,cpu,user,front-end,5,716,93.77772998937223,7.876788899646797,7.74997999219326
