label,target,repeat,scenario,true_tier,tier1_contrib,tier2_contrib,predicted_tier,correct
SockShop,carts_cpu,6,tier2_driven,tier2,-0.006540252827677881,0.501550232867598,tier2,True
SockShop,carts_cpu,7,tier1_driven,tier1,0.18560013306719894,0.021984697272122385,tier1,True
SockShop,carts_cpu,7,tier2_driven,tier2,-0.006644710578842338,0.48967864271457084,tier2,True
SockShop,carts_cpu,8,tier1_driven,tier1,0.18110312707917497,0.04244976713240186,tier1,True
SockShop,carts_cpu,8,tier2_driven,tier2,-0.012666666666666616,0.49570059880239525,tier2,True
SockShop,carts_cpu,9,tier1_driven,tier1,0.20078576180971378,0.006799068529607474,tier1,True
SockShop,carts_cpu,9,tier2_driven,tier2,-0.00556886227544906,0.49658682634730505,tier2,True
TrainTicket,ts-order-service_cpu,0,tier1_driven,tier1,0.017297884231536834,-0.14503840319361277,tier2,False
TrainTicket,ts-order-service_cpu,0,tier2_driven,tier2,-0.007788423153692685,0.4948343313373257,tier2,True
TrainTicket,ts-order-service_cpu,1,tier1_driven,tier1,0.015317205588822427,-0.047253333333333314,tier2,False
TrainTicket,ts-order-service_cpu,1,tier2_driven,tier2,-0.002958562874251569,0.49398850299401176,tier2,True
TrainTicket,ts-order-service_cpu,2,tier1_driven,tier1,0.019062834331337264,-0.01509077844311379,tier1,True
TrainTicket,ts-order-service_cpu,2,tier2_driven,tier2,0.0006815169660678189,0.4743484231536923,tier2,True
TrainTicket,ts-order-service_cpu,3,tier1_driven,tier1,0.003938522954091892,-0.047854690618762435,tier2,False
TrainTicket,ts-order-service_cpu,3,tier2_driven,tier2,-0.0028320958083832195,0.48588998003992034,tier2,True
TrainTicket,ts-order-service_cpu,4,tier1_driven,tier1,0.015055329341317147,-0.027023393213572895,tier2,False
TrainTicket,ts-order-service_cpu,4,tier2_driven,tier2,-0.0005550499001995844,0.49555704590818367,tier2,True
TrainTicket,ts-order-service_cpu,5,tier1_driven,tier1,0.02879952095808374,-0.1445799600798403,tier2,False
TrainTicket,ts-order-service_cpu,5,tier2_driven,tier2,-0.003980998003991981,0.5029790019960081,tier2,True
TrainTicket,ts-order-service_cpu,6,tier1_driven,tier1,0.02528383233532934,-0.18496447105788424,tier2,False
TrainTicket,ts-order-service_cpu,6,tier2_driven,tier2,0.0011754091816365015,0.48981461077844296,tier2,True
TrainTicket,ts-order-service_cpu,7,tier1_driven,tier1,-0.00105389221556885,-0.13068263473053893,tier2,False
TrainTicket,ts-order-service_cpu,7,tier2_driven,tier2,-0.0096421556886228,0.5006441516966063,tier2,True
TrainTicket,ts-order-service_cpu,8,tier1_driven,tier1,0.023553852295409232,-0.2510907784431138,tier2,False
TrainTicket,ts-order-service_cpu,8,tier2_driven,tier2,-0.002030019960079829,0.4810599600798402,tier2,True
TrainTicket,ts-order-service_cpu,9,tier1_driven,tier1,0.02500566866267473,-0.26451065868263474,tier2,False
TrainTicket,ts-order-service_cpu,9,tier2_driven,tier2,0.0004514171656687016,0.49456255489021944,tier2,True
TrainTicket,ts-user-service_cpu,0,tier1_driven,tier1,0.035326014637391705,0.06845043246839651,tier2,False
TrainTicket,ts-user-service_cpu,0,tier2_driven,tier2,-0.015930538922155672,0.4909884231536922,tier2,True
TrainTicket,ts-user-service_cpu,1,tier1_driven,tier1,0.021038988689288066,0.1226616101131071,tier2,False
TrainTicket,ts-user-service_cpu,1,tier2_driven,tier2,-0.016383366600133044,0.4914492348636059,tier2,True
TrainTicket,ts-user-service_cpu,2,tier1_driven,tier1,0.06058163672654701,-0.04858962075848301,tier1,True
TrainTicket,ts-user-service_cpu,2,tier2_driven,tier2,-0.020605588822355306,0.4956674650698599,tier2,True
TrainTicket,ts-user-service_cpu,3,tier1_driven,tier1,0.0371642049234862,-0.009236061210911542,tier1,True
TrainTicket,ts-user-service_cpu,3,tier2_driven,tier2,-0.02022075848303399,0.4952666666666663,tier2,True
TrainTicket,ts-user-service_cpu,4,tier1_driven,tier1,0.017022355289421035,0.12268622754491015,tier2,False
TrainTicket,ts-user-service_cpu,4,tier2_driven,tier2,-0.007308316699933475,0.4703781769793745,tier2,True
TrainTicket,ts-user-service_cpu,5,tier1_driven,tier1,0.013865469061876226,0.153775249500998,tier2,False
TrainTicket,ts-user-service_cpu,5,tier2_driven,tier2,-0.0010324683965402207,0.4880664005322691,tier2,True
TrainTicket,ts-user-service_cpu,6,tier1_driven,tier1,0.011258017298735788,0.04862621423819028,tier2,False
