scenario,target_service,fault_type,run_id,metric,other_service,n_pre,n_post,causal_RB~WB_pre,causal_RB~WB_post,causal_RB~WB_degrade,assoc_RB~RA_pre,assoc_RB~RA_post,assoc_RB~RA_degrade,assoc_RB~WA_pre,assoc_RB~WA_post,assoc_RB~WA_degrade
carts_mem,carts,mem,3,cpu,shipping,720,721,79.34,142.072,62.732,71.22,3920.599,3849.379,79.34,142.072,62.732
carts_mem,carts,mem,3,mem,front-end,720,721,12.27,8.63,-3.64,7.98,411.066,403.087,11.66,7.45,-4.209
carts_mem,carts,mem,3,mem,catalogue,720,721,6.603,0.866,-5.737,2.179,482.174,479.995,6.685,1.873,-4.812
carts_mem,carts,mem,3,mem,user,720,721,6.413,9.037,2.624,2.718,486.831,484.113,6.463,9.022,2.558
carts_mem,carts,mem,3,mem,orders,720,721,11.034,5.991,-5.043,6.463,459.427,452.965,11.013,5.987,-5.025
carts_mem,carts,mem,3,mem,payment,720,721,11.21,9.616,-1.595,9.889,324.452,314.563,11.283,9.638,-1.645
carts_mem,carts,mem,3,mem,shipping,720,721,10.931,7.394,-3.537,6.166,486.936,480.77,10.92,7.409,-3.511
carts_socket,carts,socket,1,cpu,front-end,720,721,8.689,8.629,-0.061,8.689,8.629,-0.061,8.689,8.629,-0.061
carts_socket,carts,socket,1,cpu,catalogue,720,721,7.048,7.829,0.781,7.056,7.84,0.785,7.056,7.84,0.785
carts_socket,carts,socket,1,cpu,user,718,721,8.113,6.969,-1.144,8.376,6.791,-1.585,8.376,6.791,-1.585
carts_socket,carts,socket,1,cpu,orders,719,721,10.575,13.275,2.7,10.77,13.151,2.381,10.77,13.151,2.381
carts_socket,carts,socket,1,cpu,payment,720,721,9.097,8.606,-0.491,9.147,8.673,-0.475,9.147,8.673,-0.475
carts_socket,carts,socket,1,cpu,shipping,720,721,32.498,30.271,-2.227,32.793,29.9,-2.893,32.793,29.9,-2.893
carts_socket,carts,socket,1,mem,front-end,720,721,3.715,3.506,-0.209,3.732,3.485,-0.247,3.731,3.488,-0.243
carts_socket,carts,socket,1,mem,catalogue,720,721,0.072,0.09,0.018,0.072,0.09,0.018,0.072,0.09,0.018
carts_socket,carts,socket,1,mem,user,720,721,0.316,0.238,-0.078,0.306,0.291,-0.015,0.317,0.24,-0.077
carts_socket,carts,socket,1,mem,orders,720,721,0.01,0.011,0.001,0.01,0.011,0.001,0.01,0.011,0.001
carts_socket,carts,socket,1,mem,payment,720,721,0.178,0.609,0.432,0.122,0.64,0.518,0.178,0.609,0.432
carts_socket,carts,socket,1,mem,shipping,720,721,0.023,0.045,0.021,0.023,0.045,0.021,0.023,0.045,0.021
carts_socket,carts,socket,2,cpu,front-end,720,721,7.096,11.669,4.573,7.221,49.88,42.659,7.112,11.691,4.579
carts_socket,carts,socket,2,cpu,catalogue,720,721,8.818,8.955,0.137,8.524,313.608,305.083,8.83,8.931,0.101
carts_socket,carts,socket,2,cpu,user,720,721,9.358,7.61,-1.748,9.315,183.79,174.475,9.498,7.8,-1.698
carts_socket,carts,socket,2,cpu,orders,720,721,15.504,15.719,0.214,14.202,1361.55,1347.349,15.504,15.719,0.214
carts_socket,carts,socket,2,cpu,payment,720,721,12.787,16.16,3.373,12.269,439.043,426.774,12.787,16.16,3.373
carts_socket,carts,socket,2,cpu,shipping,720,721,45.834,57.966,12.133,41.337,5659.027,5617.689,46.191,57.721,11.53
carts_socket,carts,socket,2,mem,front-end,720,721,3.449,3.687,0.238,3.49,3.704,0.214,3.49,3.692,0.202
carts_socket,carts,socket,2,mem,catalogue,720,721,0.187,0.596,0.409,0.187,0.596,0.409,0.188,0.597,0.409
carts_socket,carts,socket,2,mem,user,720,721,0.312,1.395,1.083,0.312,1.395,1.083,0.312,1.395,1.083
carts_socket,carts,socket,2,mem,orders,720,721,0.11,0.137,0.027,0.102,0.14,0.038,0.11,0.137,0.028
carts_socket,carts,socket,2,mem,payment,720,721,0.094,0.684,0.59,0.094,0.684,0.59,0.094,0.684,0.59
carts_socket,carts,socket,2,mem,shipping,720,721,0.017,0.068,0.051,0.011,0.125,0.114,0.017,0.068,0.051
carts_socket,carts,socket,3,cpu,front-end,720,721,8.865,7.938,-0.928,8.899,130.398,121.499,8.924,8.313,-0.611
carts_socket,carts,socket,3,cpu,catalogue,720,721,7.281,13.856,6.575,7.313,26.627,19.314,7.31,14.018,6.708
carts_socket,carts,socket,3,cpu,user,720,721,10.761,8.353,-2.408,10.814,75.916,65.102,10.796,8.624,-2.173
carts_socket,carts,socket,3,cpu,orders,720,721,15.542,22.514,6.972,15.563,546.997,531.434,15.707,22.449,6.741
carts_socket,carts,socket,3,cpu,payment,720,721,6.453,11.275,4.823,6.463,34.749,28.286,6.461,11.283,4.822
carts_socket,carts,socket,3,cpu,shipping,720,721,24.441,37.717,13.276,24.192,2137.3,2113.107,24.44,39.219,14.779
carts_socket,carts,socket,3,mem,front-end,720,721,3.36,3.697,0.337,3.356,179.77,176.414,3.281,3.815,0.534
carts_socket,carts,socket,3,mem,catalogue,720,721,0.979,0.796,-0.183,0.979,0.796,-0.183,0.979,0.796,-0.183
carts_socket,carts,socket,3,mem,user,720,721,0.157,1.097,0.941,0.145,29.183,29.038,0.163,1.093,0.93
carts_socket,carts,socket,3,mem,orders,720,721,0.072,0.243,0.171,0.072,0.243,0.171,0.072,0.243,0.172
carts_socket,carts,socket,3,mem,payment,720,721,0.087,0.755,0.667,0.085,4.323,4.239,0.089,0.754,0.665
