label,target,repeat,scenario,true_tier,true_upstream,tier1_contrib,backpressure_contrib,tier2_contrib,strict_pred,strict_correct,upstream_pred,upstream_correct
SockShop,carts_cpu,3,tier1_driven,tier1,upstream,0.2573202927478377,-0.025424617431803048,-0.004350765136393868,tier1,True,upstream,True
SockShop,carts_cpu,3,tier2_driven,tier2,local,-0.008849367930805097,-0.04575196274118432,0.5536033266799734,tier2,True,local,True
SockShop,carts_cpu,4,tier1_driven,tier1,upstream,0.2559069860279441,-0.012412242182302077,-0.01195781769793748,tier1,True,upstream,True
SockShop,carts_cpu,4,tier2_driven,tier2,local,-0.0023964071856287443,-0.04220133067198934,0.5396077178975383,tier2,True,local,True
SockShop,carts_cpu,5,tier1_driven,tier1,upstream,0.28384258150365943,-0.009026746506985995,-0.03529487691284098,tier1,True,upstream,True
SockShop,carts_cpu,5,tier2_driven,tier2,local,-0.009883166999334687,-0.04503579507651363,0.541944910179641,tier2,True,local,True
SockShop,carts_cpu,6,tier1_driven,tier1,upstream,0.23617192282102473,-0.011746640053226832,-0.020832468396540228,tier1,True,upstream,True
SockShop,carts_cpu,6,tier2_driven,tier2,local,-0.00829767132401858,-0.056304590818363275,0.5516282102461746,tier2,True,local,True
SockShop,carts_cpu,7,tier1_driven,tier1,upstream,0.2678509647371923,-0.004041916167664625,-0.052232202262142376,tier1,True,upstream,True
SockShop,carts_cpu,7,tier2_driven,tier2,local,-0.008418762475049918,-0.049022488356620084,0.5524512308715901,tier2,True,local,True
SockShop,carts_cpu,8,tier1_driven,tier1,upstream,0.22105522288755813,-0.023083832335329357,0.029573519627411865,tier1,True,upstream,True
SockShop,carts_cpu,8,tier2_driven,tier2,local,-0.0023103127079175025,-0.04989341317365266,0.5392296739853628,tier2,True,local,True
SockShop,carts_cpu,9,tier1_driven,tier1,upstream,0.26770073186959414,0.0005564870259480974,-0.00478416500332671,tier1,True,upstream,True
SockShop,carts_cpu,9,tier2_driven,tier2,local,-0.008509780439121692,-0.04974610778443115,0.5412898203592816,tier2,True,local,True
TrainTicket,ts-order-service_cpu,0,tier1_driven,tier1,upstream,0.015756327345309382,-0.06634443113772456,-0.11306059880239525,tier2,False,local,False
TrainTicket,ts-order-service_cpu,0,tier2_driven,tier2,local,-0.0020416766467066137,-0.0532001596806387,0.5382438323353295,tier2,True,local,True
TrainTicket,ts-order-service_cpu,1,tier1_driven,tier1,upstream,0.008482554890219565,-0.1464009580838323,-0.1654907784431138,tier2,False,local,False
TrainTicket,ts-order-service_cpu,1,tier2_driven,tier2,local,-0.0045269461077844485,-0.07134706586826339,0.5629358882235532,tier2,True,local,True
TrainTicket,ts-order-service_cpu,2,tier1_driven,tier1,upstream,0.024313932135728564,-0.10358163672654695,-0.1602332934131737,tier2,False,local,False
TrainTicket,ts-order-service_cpu,2,tier2_driven,tier2,local,-0.005630019960079848,-0.07430546906187625,0.5709334930139716,tier2,True,local,True
