label,delta_pct,node,tier,projected_mean,train_p95,train_max,ood_confidence
SockShop,25,front-end_cpu,tier2,4.955814150116663,5.168494277294224,6.883132899533267,high
SockShop,25,front-end_mem,tier2,104186183.68,110325760.0,358322176.0,high
SockShop,25,front-end_latency-50,tier2,0.036246312833956996,0.0440425531914893,0.0583941605839415,high
SockShop,25,catalogue_cpu,tier2,0.41280333393248,0.2086698079014107,49.028625708884505,low
SockShop,25,catalogue_mem,tier2,6167825.066666666,6524928.0,329572352.0,high
SockShop,25,catalogue_latency-50,tier2,0.003072572389132354,0.0031428571428571,0.14601266373267,high
SockShop,25,user_cpu,tier2,0.974570250722554,1.154028797755648,1.6543799486507298,high
SockShop,25,user_mem,tier2,8123159.893333334,9162752.0,14548992.0,high
SockShop,25,user_latency-50,tier2,0.004404839161779403,0.0056605922551252,0.0175,high
SockShop,25,carts_cpu,tier2,2.3425914751028443,5.5648055996062755,48.76569806376475,high
SockShop,25,carts_mem,tier2,213881200.64,222748672.0,432041984.0,high
SockShop,25,carts_latency-50,tier2,0.0044644244486464375,1.1874999999999998,5.5,high
SockShop,25,orders_cpu,tier2,2.1696260885888616,5.602826944199368,80.04373168689828,high
SockShop,25,orders_mem,tier2,329551977.45410264,336138240.0,656744448.0,high
SockShop,25,orders_latency-50,tier2,0.0676455434267075,0.5000000000000001,2.125,high
SockShop,25,payment_cpu,tier2,0.0863439263623161,0.1010122448979587,19.838419782870968,high
SockShop,25,payment_mem,tier2,4585977.173333333,5140480.0,7991296.0,high
SockShop,25,payment_latency-50,tier2,0.0023958242371098907,0.0028095238095238,0.005,high
SockShop,25,shipping_cpu,tier2,0.5939647236014326,1.788315640825861,13.558962604157635,high
SockShop,25,shipping_mem,tier2,303177891.84,307023872.0,604696576.0,high
SockShop,25,shipping_latency-50,tier2,0.0033776145716035177,0.004960949764521125,2.5,high
SockShop,30,catalogue_workload,tier1,5.38817137714168,4.667,5.933,low
SockShop,30,carts_workload,tier1,10.68729393320713,9.667,13.733,low
SockShop,30,user_workload,tier1,21.72914206294199,21.8,30.067,medium
SockShop,30,orders_workload,tier1,2.2082696249642266,2.667,15.067,high
SockShop,30,payment_workload,tier1,2.1429761868697477,2.667,3.733,high
SockShop,30,shipping_workload,tier1,2.165826895408406,2.667,4.0,high
SockShop,30,front-end_cpu,tier2,5.14028458248126,5.168494277294224,6.883132899533267,medium
SockShop,30,front-end_mem,tier2,104243950.93333334,110325760.0,358322176.0,high
SockShop,30,front-end_latency-50,tier2,0.040784889722631286,0.0440425531914893,0.0583941605839415,high
SockShop,30,catalogue_cpu,tier2,0.26201901098891683,0.2086698079014107,49.028625708884505,low
SockShop,30,catalogue_mem,tier2,6178365.44,6524928.0,329572352.0,high
SockShop,30,catalogue_latency-50,tier2,0.0030605243876950477,0.0031428571428571,0.14601266373267,high
SockShop,30,user_cpu,tier2,0.9836160092486849,1.154028797755648,1.6543799486507298,high
SockShop,30,user_mem,tier2,8095307.093333334,9162752.0,14548992.0,high
SockShop,30,user_latency-50,tier2,0.004375746518194877,0.0056605922551252,0.0175,high
SockShop,30,carts_cpu,tier2,2.2373195209083794,5.5648055996062755,48.76569806376475,high
SockShop,30,carts_mem,tier2,214647330.13333333,222748672.0,432041984.0,high
SockShop,30,carts_latency-50,tier2,0.1087138175710706,1.1874999999999998,5.5,high
SockShop,30,orders_cpu,tier2,2.3064023851942883,5.602826944199368,80.04373168689828,high
SockShop,30,orders_mem,tier2,333352964.8514311,336138240.0,656744448.0,high
SockShop,30,orders_latency-50,tier2,0.08455200753539754,0.5000000000000001,2.125,high
SockShop,30,payment_cpu,tier2,0.08734176992780887,0.1010122448979587,19.838419782870968,high
SockShop,30,payment_mem,tier2,4602716.16,5140480.0,7991296.0,high
SockShop,30,payment_latency-50,tier2,0.0023316647054662416,0.0028095238095238,0.005,high
SockShop,30,shipping_cpu,tier2,0.6059201269511424,1.788315640825861,13.558962604157635,high
