system,service,metric,model,mape_full_res_pct,rmse_full_res,r2_full_res,n_train,n_fit,n_test_full_res
TrainTicket,ts-food-map-service,Memory,GradBoost,2.31,7.4745,-0.005,43416,2000,21384
TrainTicket,ts-food-map-service,Memory,GaussianProcess,2.36,7.5145,-0.016,43416,2000,21384
TrainTicket,ts-food-map-service,Memory,SCM_Auto,2.27,7.4565,-0.001,43416,2000,21384
TrainTicket,ts-food-map-service,Memory,SCM_Deployed,2.27,7.4565,-0.001,43416,2000,21384
TrainTicket,ts-food-service,Memory,LinearReg,2.5,7.878,-0.002,43416,2000,21384
TrainTicket,ts-food-service,Memory,GradBoost,2.52,7.8709,-0.001,43416,2000,21384
TrainTicket,ts-food-service,Memory,GaussianProcess,2.61,7.935,-0.017,43416,2000,21384
TrainTicket,ts-food-service,Memory,SCM_Auto,2.5,7.878,-0.002,43416,2000,21384
TrainTicket,ts-food-service,Memory,SCM_Deployed,2.5,7.878,-0.002,43416,2000,21384
TrainTicket,ts-inside-payment-service,Memory,LinearReg,3.08,9.4023,-0.061,43416,2000,21384
TrainTicket,ts-inside-payment-service,Memory,GradBoost,3.1,9.1444,-0.004,43416,2000,21384
TrainTicket,ts-inside-payment-service,Memory,GaussianProcess,3.12,9.142,-0.003,43416,2000,21384
TrainTicket,ts-inside-payment-service,Memory,SCM_Auto,3.08,9.4023,-0.061,43416,2000,21384
TrainTicket,ts-inside-payment-service,Memory,SCM_Deployed,3.08,9.4023,-0.061,43416,2000,21384
TrainTicket,ts-order-other-service,Memory,LinearReg,2.83,10.3532,-0.222,43416,2000,21384
TrainTicket,ts-order-other-service,Memory,GradBoost,4.11,12.6234,-0.816,43416,2000,21384
TrainTicket,ts-order-other-service,Memory,GaussianProcess,2.18,9.4744,-0.023,43416,2000,21384
TrainTicket,ts-order-other-service,Memory,SCM_Auto,2.83,10.3532,-0.222,43416,2000,21384
TrainTicket,ts-order-other-service,Memory,SCM_Deployed,2.83,10.3532,-0.222,43416,2000,21384
TrainTicket,ts-order-service,Memory,LinearReg,4.53,23.3204,-0.002,43416,2000,21384
TrainTicket,ts-order-service,Memory,GradBoost,4.16,23.319,-0.002,43416,2000,21384
TrainTicket,ts-order-service,Memory,GaussianProcess,4.45,23.306,-0.001,43416,2000,21384
TrainTicket,ts-order-service,Memory,SCM_Auto,4.53,23.3204,-0.002,43416,2000,21384
TrainTicket,ts-order-service,Memory,SCM_Deployed,4.53,23.3204,-0.002,43416,2000,21384
TrainTicket,ts-payment-service,Memory,LinearReg,2.64,7.7381,-0.206,43401,2000,21378
TrainTicket,ts-payment-service,Memory,GradBoost,2.48,7.0471,-0.0,43401,2000,21378
TrainTicket,ts-payment-service,Memory,GaussianProcess,2.58,7.1757,-0.037,43401,2000,21378
TrainTicket,ts-payment-service,Memory,SCM_Auto,2.48,7.0471,-0.0,43401,2000,21378
TrainTicket,ts-payment-service,Memory,SCM_Deployed,2.64,7.7381,-0.206,43401,2000,21378
TrainTicket,ts-preserve-other-service,Memory,LinearReg,3.04,8.8749,-0.15,39026,2000,19222
TrainTicket,ts-preserve-other-service,Memory,GradBoost,2.92,8.4131,-0.033,39026,2000,19222
TrainTicket,ts-preserve-other-service,Memory,GaussianProcess,2.94,8.3228,-0.011,39026,2000,19222
TrainTicket,ts-preserve-other-service,Memory,SCM_Auto,3.04,8.8749,-0.15,39026,2000,19222
TrainTicket,ts-preserve-other-service,Memory,SCM_Deployed,3.04,8.8749,-0.15,39026,2000,19222
TrainTicket,ts-preserve-service,Memory,LinearReg,2.86,8.2432,-0.017,39014,2000,19217
TrainTicket,ts-preserve-service,Memory,GradBoost,2.94,8.2138,-0.01,39014,2000,19217
TrainTicket,ts-preserve-service,Memory,GaussianProcess,2.94,8.2224,-0.012,39014,2000,19217
TrainTicket,ts-preserve-service,Memory,SCM_Auto,2.94,8.2138,-0.01,39014,2000,19217
TrainTicket,ts-preserve-service,Memory,SCM_Deployed,2.86,8.2432,-0.017,39014,2000,19217
TrainTicket,ts-price-service,Memory,LinearReg,1.5,5.1792,-0.152,43416,2000,21384
TrainTicket,ts-price-service,Memory,GradBoost,1.49,4.8705,-0.019,43416,2000,21384
TrainTicket,ts-price-service,Memory,GaussianProcess,1.42,4.8236,0.001,43416,2000,21384
TrainTicket,ts-price-service,Memory,SCM_Auto,1.56,4.9736,-0.062,43416,2000,21384
TrainTicket,ts-price-service,Memory,SCM_Deployed,1.5,5.1792,-0.152,43416,2000,21384
TrainTicket,ts-route-service,Memory,LinearReg,2.15,12.0301,-0.003,43416,2000,21384
TrainTicket,ts-route-service,Memory,GradBoost,2.09,12.0497,-0.006,43416,2000,21384
TrainTicket,ts-route-service,Memory,GaussianProcess,7.91,30.3004,-5.361,43416,2000,21384
TrainTicket,ts-route-service,Memory,SCM_Auto,2.07,12.0717,-0.01,43416,2000,21384
TrainTicket,ts-route-service,Memory,SCM_Deployed,2.26,12.0303,-0.003,43416,2000,21384
TrainTicket,ts-seat-service,Memory,LinearReg,1.2,3.6761,-0.014,39074,2000,19246
TrainTicket,ts-seat-service,Memory,GradBoost,1.2,3.6703,-0.011,39074,2000,19246
TrainTicket,ts-seat-service,Memory,GaussianProcess,1.2,3.6528,-0.002,39074,2000,19246
TrainTicket,ts-seat-service,Memory,SCM_Auto,1.24,3.8365,-0.105,39074,2000,19246
TrainTicket,ts-seat-service,Memory,SCM_Deployed,1.2,3.6761,-0.014,39074,2000,19246
TrainTicket,ts-security-service,Memory,LinearReg,2.95,9.3846,-0.144,39052,2000,19236
TrainTicket,ts-security-service,Memory,GradBoost,2.84,8.9782,-0.047,39052,2000,19236
TrainTicket,ts-security-service,Memory,GaussianProcess,2.84,8.9964,-0.052,39052,2000,19236
TrainTicket,ts-security-service,Memory,SCM_Auto,2.95,9.3846,-0.144,39052,2000,19236
TrainTicket,ts-security-service,Memory,SCM_Deployed,2.95,9.3846,-0.144,39052,2000,19236
TrainTicket,ts-station-service,Memory,LinearReg,2.15,7.7495,-0.073,43416,2000,21384
TrainTicket,ts-station-service,Memory,GradBoost,2.04,7.5707,-0.024,43416,2000,21384
TrainTicket,ts-station-service,Memory,GaussianProcess,2.12,7.6835,-0.055,43416,2000,21384
TrainTicket,ts-station-service,Memory,SCM_Auto,2.15,7.7495,-0.073,43416,2000,21384
TrainTicket,ts-station-service,Memory,SCM_Deployed,2.15,7.7495,-0.073,43416,2000,21384
TrainTicket,ts-ticketinfo-service,Memory,LinearReg,1.88,5.6655,-0.032,43416,2000,21384
TrainTicket,ts-ticketinfo-service,Memory,GradBoost,2.05,6.0472,-0.176,43416,2000,21384
TrainTicket,ts-ticketinfo-service,Memory,GaussianProcess,1.79,5.6015,-0.009,43416,2000,21384
TrainTicket,ts-ticketinfo-service,Memory,SCM_Auto,1.88,5.6655,-0.032,43416,2000,21384
TrainTicket,ts-ticketinfo-service,Memory,SCM_Deployed,1.88,5.6655,-0.032,43416,2000,21384
TrainTicket,ts-train-service,Memory,LinearReg,1.9,6.1312,-0.007,43416,2000,21384
TrainTicket,ts-train-service,Memory,GradBoost,1.74,6.3713,-0.087,43416,2000,21384
TrainTicket,ts-train-service,Memory,GaussianProcess,1.75,6.2755,-0.055,43416,2000,21384
TrainTicket,ts-train-service,Memory,SCM_Auto,1.9,6.1312,-0.007,43416,2000,21384
TrainTicket,ts-train-service,Memory,SCM_Deployed,1.9,6.1312,-0.007,43416,2000,21384
TrainTicket,ts-travel-service,Memory,LinearReg,2.69,16.525,-0.134,43416,2000,21384
TrainTicket,ts-travel-service,Memory,GradBoost,2.35,15.5207,-0.001,43416,2000,21384
TrainTicket,ts-travel-service,Memory,GaussianProcess,2.57,15.5641,-0.006,43416,2000,21384
TrainTicket,ts-travel-service,Memory,SCM_Auto,4.48,19.0882,-0.514,43416,2000,21384
TrainTicket,ts-travel-service,Memory,SCM_Deployed,2.51,15.5312,-0.002,43416,2000,21384
TrainTicket,ts-travel2-service,Memory,LinearReg,1.43,5.0665,-0.332,43416,2000,21384
TrainTicket,ts-travel2-service,Memory,GradBoost,1.29,4.3906,-0.001,43416,2000,21384
TrainTicket,ts-travel2-service,Memory,GaussianProcess,1.31,4.447,-0.026,43416,2000,21384
TrainTicket,ts-travel2-service,Memory,SCM_Auto,1.29,4.4097,-0.009,43416,2000,21384
TrainTicket,ts-travel2-service,Memory,SCM_Deployed,1.43,5.0665,-0.332,43416,2000,21384
TrainTicket,ts-ui-dashboard,Memory,LinearReg,0.94,0.0486,-0.052,43416,2000,21384
TrainTicket,ts-ui-dashboard,Memory,GradBoost,0.95,0.0475,-0.005,43416,2000,21384
TrainTicket,ts-ui-dashboard,Memory,GaussianProcess,0.95,0.0476,-0.007,43416,2000,21384
TrainTicket,ts-ui-dashboard,Memory,SCM_Auto,1.13,0.052,-0.201,43416,2000,21384
TrainTicket,ts-ui-dashboard,Memory,SCM_Deployed,0.94,0.0477,-0.012,43416,2000,21384
TrainTicket,ts-user-service,Memory,LinearReg,2.59,7.2737,-0.043,39045,2000,19232
