service,metric,mode,n_train,shuffled,n_test,model,skill,r2_signal,lambda
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,ood,30,False,20,ElasticityPooled,0.6560814479098573,0.6243835236036401,0.9635427438832113
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,indist,30,False,18,constant,0.0,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,indist,30,False,18,persistence,0.04921672257058285,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,indist,30,False,18,NNLS_deployed,0.48545550684106176,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,indist,30,False,18,LinearReg,0.4854554076753992,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,indist,30,False,18,Queueing,0.4854562010007001,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,indist,30,False,18,GradBoost,0.3857050807556497,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,indist,30,False,18,ElasticityPrior,0.2791046544746639,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,indist,30,False,18,ElasticityPooled,0.4872766346521613,0.687236517003075,0.9729856635064837
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,ood,30,False,20,constant,0.0,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,ood,30,False,20,persistence,0.4346661667935957,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,ood,30,False,20,NNLS_deployed,0.7447575958948107,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,ood,30,False,20,LinearReg,0.7447573720942255,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,ood,30,False,20,Queueing,0.7447573969609571,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,ood,30,False,20,GradBoost,0.4520027969904531,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,ood,30,False,20,ElasticityPrior,0.4607808378440734,0.687236517003075,
07fcb31cc3eb5bf0d258e8293fed29ecf10d6d9265a93444c32f4872f4f591a4,cpu,ood,30,False,20,ElasticityPooled,0.7505874519409419,0.687236517003075,0.9677541287902036
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,indist,30,False,18,constant,0.0,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,indist,30,False,18,persistence,-1.4580533230107457,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,indist,30,False,18,NNLS_deployed,-0.445511299741282,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,indist,30,False,18,LinearReg,-0.44551101184344266,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,indist,30,False,18,Queueing,-0.445511299741282,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,indist,30,False,18,GradBoost,0.24850582851433412,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,indist,30,False,18,ElasticityPrior,0.21123311824120727,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,indist,30,False,18,ElasticityPooled,-0.3559550628075203,0.4776911671360184,0.9368032543990094
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,ood,30,False,20,constant,0.0,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,ood,30,False,20,persistence,0.4246886966158565,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,ood,30,False,20,NNLS_deployed,0.66905232568742,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,ood,30,False,20,LinearReg,0.66905232568742,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,ood,30,False,20,Queueing,-172.09418419449227,0.4776911671360184,
